"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-08-22 ~ 2026-08-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 대치동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202608","01","334,000","-","3","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","-"
"2","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202607","20","369,500","-","1","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","-"
"3","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202607","18","346,000","-","9","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","-"
"4","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202607","15","326,000","-","1","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","-"
"5","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202607","07","390,000","-","8","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구, 서울 송파구","-"
"6","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202606","30","393,000","-","9","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","-"
"7","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202606","23","337,000","-","2","개인","개인","1979","삼성로 212","20260810","중개거래","서울 강남구","-"
"8","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202606","20","345,000","-","13","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","-"
"9","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202606","12","348,000","-","9","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","-"
"10","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202606","03","377,000","22","3","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.07.27"
"11","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202605","30","387,500","-","5","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","-"
"12","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202605","21","340,000","16","13","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","26.07.30"
"13","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202605","07","389,000","-","10","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","-"
"14","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202604","30","400,000","-","12","개인","개인","1980","삼성로 212","-","중개거래","경기 과천시, 서울 강남구","-"
"15","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202604","21","381,000","6","13","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.07.23"
"16","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202604","11","373,000","22","2","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.06.09"
"17","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202603","27","347,000","20","12","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구, 서울 도봉구","26.04.16"
